2026-04-12 22:46:07 | __main__ | INFO | === Приложение запущено ===
2026-04-12 22:46:07 | __main__ | INFO | Окно отображено, Mica применён
2026-04-12 22:48:50 | __main__ | INFO | === Приложение запущено ===
2026-04-12 22:48:50 | __main__ | INFO | Окно отображено, Mica применён
2026-04-12 22:49:23 | __main__ | INFO | === Приложение запущено ===
2026-04-12 22:49:23 | __main__ | INFO | Окно отображено, Mica применён
2026-04-12 22:57:50 | __main__ | INFO | === Приложение запущено ===
2026-04-12 22:57:51 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-12 22:59:18 | __main__ | INFO | === Приложение запущено ===
2026-04-12 22:59:18 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-12 23:07:48 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:07:49 | __main__ | INFO | Окно отображено, тема: dark, Mica применён
2026-04-12 23:09:10 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:09:10 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-12 23:16:38 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:16:38 | __main__ | INFO | Окно отображено, тема: dark, Mica применён
2026-04-12 23:29:52 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:29:52 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-12 23:42:11 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:42:11 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-12 23:45:51 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:46:04 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:48:43 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:50:02 | __main__ | INFO | === Приложение запущено ===
2026-04-12 23:50:02 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 20:46:32 | __main__ | INFO | === Приложение запущено ===
2026-04-13 20:46:33 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 20:48:36 | __main__ | INFO | === Приложение запущено ===
2026-04-13 20:48:36 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 20:58:34 | __main__ | INFO | === Приложение запущено ===
2026-04-13 20:58:35 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 21:13:14 | __main__ | INFO | === Приложение запущено ===
2026-04-13 21:13:14 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 21:15:54 | __main__ | INFO | === Приложение запущено ===
2026-04-13 21:15:55 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 22:09:53 | __main__ | INFO | === Приложение запущено ===
2026-04-13 22:09:53 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 22:17:46 | __main__ | INFO | === Приложение запущено ===
2026-04-13 22:17:46 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 22:36:03 | __main__ | INFO | === Приложение запущено ===
2026-04-13 22:37:25 | __main__ | INFO | === Приложение запущено ===
2026-04-13 22:37:25 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 22:43:34 | __main__ | INFO | === Приложение запущено ===
2026-04-13 22:43:34 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 22:51:00 | __main__ | INFO | === Приложение запущено ===
2026-04-13 22:51:01 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 22:54:04 | __main__ | INFO | === Приложение запущено ===
2026-04-13 22:54:04 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 22:59:57 | __main__ | INFO | === Приложение запущено ===
2026-04-13 22:59:57 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-13 23:03:23 | __main__ | INFO | === Приложение запущено ===
2026-04-13 23:03:23 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 21:47:37 | __main__ | INFO | === Приложение запущено ===
2026-04-14 21:47:38 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 21:51:01 | __main__ | INFO | === Приложение запущено ===
2026-04-14 21:51:02 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 21:54:22 | __main__ | INFO | === Приложение запущено ===
2026-04-14 21:54:23 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 21:55:56 | __main__ | INFO | === Приложение запущено ===
2026-04-14 21:55:56 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 22:10:11 | __main__ | INFO | === Приложение запущено ===
2026-04-14 22:10:12 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 22:19:54 | __main__ | INFO | === Приложение запущено ===
2026-04-14 22:19:55 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 22:21:41 | __main__ | INFO | === Приложение запущено ===
2026-04-14 22:21:41 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 22:26:51 | __main__ | INFO | === Приложение запущено ===
2026-04-14 22:26:52 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 22:32:22 | __main__ | INFO | === Приложение запущено ===
2026-04-14 22:32:23 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-14 22:43:39 | __main__ | INFO | === Приложение запущено ===
2026-04-14 22:43:39 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-15 21:40:01 | __main__ | INFO | === Приложение запущено ===
2026-04-15 21:40:01 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-15 22:03:26 | __main__ | INFO | === Приложение запущено ===
2026-04-15 22:03:26 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-16 21:12:57 | __main__ | INFO | === Приложение запущено ===
2026-04-16 21:12:58 | __main__ | INFO | Окно отображено, тема: light, Mica применён
2026-04-16 23:06:24 | __main__ | INFO | === Приложение запущено ===
2026-04-16 23:07:23 | __main__ | INFO | === Приложение запущено ===
2026-04-16 23:07:32 | __main__ | INFO | === Приложение запущено ===
2026-04-16 23:07:50 | __main__ | INFO | === Приложение запущено ===
2026-04-16 23:07:50 | __main__ | INFO | Окно отображено, тема: light, Mica применён
